i,scd,src_box4,src_maxd,out_box4,out_bad48,psnr_f0,psnr_f1
521,0.00,3,3,10,0,48.11,48.11
522,0.00,3,3,10,0,48.11,48.11
523,0.00,2,3,10,0,48.11,48.11
524,0.00,2,5,10,0,48.11,48.11
525,0.00,2,2,10,0,48.11,48.11
526,0.00,3,3,10,0,48.11,48.11
527,0.00,3,3,10,0,48.11,48.11
528,0.00,3,3,10,0,48.11,48.11
529,0.00,3,3,10,0,48.11,48.11
530,0.00,3,3,10,0,48.11,48.11
531,0.00,3,3,10,0,48.11,48.11
532,0.07,4,8,10,0,47.07,47.71
533,0.00,3,3,10,0,48.19,48.19
534,0.00,3,3,10,0,48.19,48.19
535,0.02,4,6,10,0,48.03,48.11
536,1.56,149,162,140,63071,26.82,26.98
537,0.00,4,7,12,0,48.15,48.17
538,0.03,4,8,12,0,47.83,48.03
539,0.98,139,152,117,29482,29.76,30.20
540,0.00,4,7,11,0,48.14,48.16
541,0.03,4,8,11,0,47.81,48.00
542,0.61,121,153,74,9859,32.87,33.84
543,0.00,4,8,12,0,48.17,48.18
544,0.04,4,8,12,0,47.79,48.01
545,0.63,120,147,84,10212,32.79,33.70
546,0.01,4,7,12,0,48.08,48.12
547,0.00,3,7,12,0,48.14,48.15
548,0.00,3,8,12,0,48.16,48.17
549,0.00,3,4,12,0,48.16,48.17
550,0.02,3,7,13,0,47.94,48.08
551,1.51,163,178,152,53363,27.19,27.40
552,0.00,6,7,10,0,48.15,48.16
553,0.03,4,11,10,0,47.88,48.05
554,1.60,161,181,151,57702,26.81,26.95
555,0.00,3,7,12,0,48.21,48.23
556,0.02,4,7,12,0,47.94,48.10
557,2.55,166,179,163,109074,23.77,23.79
558,0.00,4,7,12,0,48.20,48.22
559,0.02,4,9,12,0,47.91,48.09
560,2.43,166,179,158,102623,24.02,24.24
561,0.00,4,7,11,0,48.22,48.24
562,0.03,4,8,11,0,47.88,48.07
563,2.48,166,178,159,103495,23.99,24.08
564,0.00,4,6,12,0,48.21,48.24
565,0.04,4,7,13,0,47.84,48.02
566,0.03,146,169,132,771,42.99,43.25
567,0.00,4,6,12,0,48.20,48.23
568,0.03,4,8,13,0,47.84,48.04
569,0.03,146,169,135,759,43.05,43.19
570,0.00,3,5,12,0,48.23,48.24
571,0.03,4,8,13,0,47.85,48.04
572,0.06,151,176,151,1974,38.62,42.50
573,0.00,5,6,12,0,48.20,48.22
574,0.03,4,8,12,0,47.85,48.05
575,0.03,138,143,81,457,44.75,41.27
576,0.00,3,7,12,0,48.20,48.23
577,0.04,4,8,13,0,47.80,48.02
578,0.05,138,144,138,1124,41.23,44.82
579,0.00,3,6,12,0,48.18,48.21
580,0.09,4,9,12,0,46.84,47.60
581,0.00,3,4,12,0,48.23,48.23
582,0.00,2,2,12,0,48.23,48.23
583,0.02,3,6,12,0,48.01,48.10
584,0.04,137,142,80,459,44.78,41.29
585,0.00,3,5,12,0,48.18,48.19
586,0.03,4,8,12,0,47.87,48.04
587,0.03,146,166,136,758,43.07,43.19
588,0.00,3,6,12,0,48.17,48.19
589,0.03,4,8,12,0,47.88,48.04
590,0.03,146,167,132,769,43.04,43.28
591,0.00,3,5,12,0,48.19,48.20
592,0.03,4,7,12,0,47.93,48.07
593,0.03,146,166,136,755,43.10,43.20
594,0.00,3,6,12,0,48.19,48.20
595,0.03,4,7,12,0,47.92,48.06
596,0.05,150,173,150,1982,38.63,42.53
597,0.00,3,4,12,0,48.22,48.23
598,0.02,4,7,12,0,48.01,48.11
599,0.05,150,173,106,923,42.53,38.56
600,0.00,3,6,12,0,48.19,48.20
601,0.02,3,8,12,0,47.99,48.11
602,0.05,150,173,150,1983,38.65,42.53
603,0.00,3,4,12,0,48.22,48.23
604,0.02,3,8,12,0,48.05,48.14
